# CSV-File created with merge-csv.com
# -----------------------------------------------------------

ID,bank_account_balance_20,bank_account_balance_21,bank_account_balance_22,bank_account_balance_23,bank_account_balance_24,bank_account_balance_25,bank_account_balance_26,bank_account_balance_27,bank_account_balance_28,bank_account_balance_29,bank_account_balance_30,bank_account_balance_31,bank_account_balance_32,bank_account_balance_33,bank_account_balance_34,bank_account_balance_35,bank_account_balance_36,bank_account_balance_37,bank_account_balance_38,bank_account_balance_39,bank_account_balance_40,bank_account_balance_41,bank_account_balance_42,bank_account_balance_43,bank_account_balance_44,bank_account_balance_45,bank_account_balance_46,bank_account_balance_47,bank_account_balance_48,bank_account_balance_49,bank_account_balance_50
874,5702,5950,7436,7732,8703,9284,9339,10592,10412,11677,12338,12270,14954,16312,19389,19934,20238,20676,20097,22364,23922,21431,21944,27848,32802,31293,32385,30595,36371,40348,42674
693,5179,5776,7620,7615,8669,9192,9703,10792,10794,11246,12642,13612,13419,16027,17960,20683,20219,21587,24714,21108,22641,21805,22321,28334,30476,31998,32525,34611,38992,40423,42935
335,5244,6053,7923,8120,8504,9379,9739,10593,10768,11444,12409,12217,12618,17830,20743,18213,22002,21328,26469,21232,22567,21561,22867,27422,31010,31896,32513,30172,36422,40247,42029
658,5548,6384,7586,7781,8185,9395,9698,10954,10449,11386,12154,12990,14916,16700,21810,19087,20386,23520,22637,21306,22622,20308,23078,28888,33107,31897,32754,33743,37190,40811,42832
109,5008,6264,7499,7660,8494,9228,9597,10500,10974,11462,12460,13030,14288,17346,18704,19888,22696,20924,26269,21138,22448,20185,21990,27219,33392,31595,32134,30763,36236,40100,42329
606,5218,5783,7009,8126,8541,9267,9976,10454,10850,11064,12933,11879,13333,16187,17591,17823,21990,21617,24917,21143,23236,20325,21690,27725,30503,31827,32680,32542,36135,40482,42563
88,5591,5959,7051,8038,8268,9216,9902,10585,10655,11030,12467,11964,13528,18514,19497,19971,20360,22566,26930,21356,23042,21423,21572,28179,30580,31132,32327,31242,36184,40073,42924
507,5209,5625,7293,7944,8122,9311,9703,10839,10543,11815,12892,12253,13933,17262,20220,18698,22767,23624,22071,22146,23107,20206,23652,28215,31366,31564,32163,33439,38786,40556,42516
502,5356,6173,7322,7923,8011,9237,9344,10934,10625,11443,12824,11724,14612,18328,21276,17613,21665,22468,20052,21136,22847,20733,23793,27995,32665,31215,32783,31372,36232,40857,42584
365,5236,6203,7747,7749,8251,9105,9797,10680,10577,11029,12416,11872,14655,17425,21794,19908,17318,20256,24915,22466,23839,20451,24091,27721,30950,31026,32811,30187,37953,40698,42509
363,5958,5623,7251,7674,8412,9267,9397,10552,10710,11053,12488,13542,13789,18397,18522,17514,16909,21992,23947,21869,22699,21961,23277,27414,30509,31319,32376,33512,36445,40824,42107
802,5460,6345,7793,8202,8127,9282,9781,10576,10605,11240,12181,13692,13284,18363,21237,21129,20346,21093,24176,22303,22611,21944,22708,27247,30400,31675,32157,31530,36332,40442,42688
562,5596,5836,7513,8203,8227,9243,9624,10929,10723,11567,12179,13211,13677,18724,18578,17259,22140,20913,24771,21165,23780,20042,24228,28077,31047,31135,32721,33627,37503,40190,42712
195,5725,6468,7371,7678,8019,9245,9770,10633,10967,11364,12705,11761,14458,17164,19829,19478,18449,21954,20266,21633,23624,21058,23310,27372,32203,31291,32978,33072,38086,40345,42581
755,5811,5920,7893,7746,8746,9226,9998,10408,10943,11015,12174,13044,12701,18144,21295,17445,16147,22456,22016,22879,22972,20414,22843,27210,30546,31539,32399,31088,38328,40067,42869
306,5903,6009,7585,8223,8647,9221,9864,10417,10880,11691,12531,11964,13619,15540,20034,17590,21244,20385,20250,22414,22325,21788,24705,28904,32593,31963,32092,33515,38743,40881,42412
352,5232,6295,7518,7887,8625,9136,9975,10922,10976,11771,12115,11193,14208,18313,20241,20800,16210,23758,21261,22048,23932,20310,25091,28809,33716,31648,32898,34805,38684,40917,42708
313,5941,6290,7372,7708,8755,9284,9960,10943,10643,11076,12542,13228,12526,18658,17260,19567,18648,23950,26891,22695,22288,21662,24796,27534,31855,31810,32467,31738,38807,40442,42381
11,5067,5607,7432,8005,8494,9200,9967,10594,10710,11955,12993,12437,14593,18268,20605,18180,17149,20034,25061,21674,22632,21439,22301,28144,30804,31545,32947,32688,37830,40592,42924
262,5273,5802,7385,8171,8821,9180,9849,10795,10651,11774,12655,11481,12436,18782,18639,17087,18440,23535,24673,22229,23607,21898,21955,27701,33471,31956,32320,31216,36918,40384,42259
975,5290,6486,7068,7782,8336,9155,9572,10641,10995,11080,12046,11330,13995,17004,17529,18731,21928,21470,25135,22320,23904,20684,22099,28504,31219,31017,32109,32555,37651,40498,42037
80,5248,5641,7812,7988,8971,9374,9326,10499,10625,11975,12872,12628,12549,16111,21151,21153,20216,22529,20365,21390,22423,20500,25540,28013,33730,31112,32846,32033,38929,40627,42979
781,5415,5744,7101,8215,8470,9222,9373,10676,10771,11286,12101,12222,13836,17480,19848,17431,22436,22323,26281,22339,22729,20327,25101,28771,33017,31642,32927,30505,36635,40303,42364
351,5387,6340,7776,7558,8358,9142,9781,10557,10606,11191,12047,11008,14831,16823,19430,19379,16096,20086,21792,22785,23304,20187,25836,28561,31548,31571,32756,30393,36668,40848,42946
562,5408,5610,7980,7884,8213,9239,9386,10790,10842,11675,12589,12082,13059,18053,21339,21509,19572,22622,22437,22689,23666,20521,21594,27387,31935,31464,32329,32830,36465,40805,42641
453,5939,5708,7763,8276,8769,9299,9416,10626,10741,11721,12864,11357,14041,16913,17782,21843,20173,20239,26533,21252,23089,20648,23780,27428,32577,31915,32164,34337,37746,40690,42181
813,5103,5672,7582,7915,8306,9201,9944,10484,10905,11642,12163,12281,14338,15081,18297,19358,22710,23090,21003,22672,22700,20962,23812,27087,30637,31048,32202,33111,36299,40226,42879
861,5018,6140,7799,8179,8514,9315,9847,10947,10870,11191,12173,11067,13024,15241,20827,18269,16032,21160,25540,22720,22472,20063,23604,28205,32947,31402,32404,34280,36678,40354,42803
269,5510,6478,7943,8034,8578,9349,9491,10471,10940,11292,12814,12810,13034,16691,18940,17301,17814,20606,22152,21945,23625,21353,25663,28003,31316,31786,32534,32659,38039,40497,42455
324,5974,5679,7850,7749,8930,9201,9640,10912,10859,11397,12075,13103,12874,15488,17140,17592,22214,21970,26835,22378,23376,20673,22047,27352,33371,31735,32000,33035,37762,40240,42814
569,5082,5695,7376,7797,8963,9197,9572,10535,10992,11305,12206,11549,12903,15788,17416,17021,16390,22926,24305,21121,22566,20761,23862,27931,33087,31736,32677,31555,37609,40804,42751
406,5180,5635,7760,7533,8069,9174,9339,10985,10934,11319,12171,13477,13891,18617,19567,18069,22474,20894,21480,21887,22030,21722,24146,27294,32326,31249,32054,32193,36339,40380,42770
982,5983,5625,7689,8226,8270,9254,9986,10789,10556,11506,12371,12673,14513,17824,20839,21362,19626,23495,22505,21190,22584,20848,23571,27997,33231,31694,32920,30054,38491,40634,42142
641,5061,6121,7945,8007,8478,9299,9654,10708,10455,11787,12251,13311,13298,16332,17882,21479,22372,23006,21825,22949,23881,21410,21056,28059,30221,31004,32836,34454,38726,40973,42385
656,5620,6404,7824,7778,8666,9190,9862,10484,10973,11178,12798,12564,12745,18305,20214,19896,19921,21082,24343,22967,22211,20296,21767,28118,32428,31953,32397,32829,37223,40348,42298
686,5519,5815,7892,7929,8442,9141,9480,10762,10771,11879,12045,12948,12510,17848,17842,19043,17011,23207,21267,21238,23131,20501,24682,28683,30535,31143,32180,34738,38821,40361,42246
180,5514,5675,7533,7792,8290,9274,9551,10941,10850,11896,12206,12997,12594,17755,20927,17754,19224,20115,25899,21034,23241,21413,21073,27228,31230,31581,32906,34527,37404,40591,42073
341,5681,6176,7761,7926,8946,9349,9567,10787,10501,11755,12837,13098,12937,16913,18776,21028,21365,23193,26537,22283,22438,21991,25563,28307,30999,31996,32509,34272,37424,40320,42048
110,5725,6104,7895,8144,8365,9274,9668,10658,10715,11954,12709,12676,14774,17588,21124,19644,21410,23808,20090,21656,23232,20600,21117,28148,33019,31164,32386,33497,36804,40610,42643
782,5892,6386,7320,8066,8055,9184,9470,10917,10750,11173,12140,13761,12903,15867,20791,20567,22248,23672,22714,22112,23873,20894,24862,28137,31701,31547,32879,31058,37224,40819,42749
222,5100,6273,7211,7593,8440,9332,9818,10510,10722,11367,12413,12975,13970,16081,18437,17500,20242,21274,21324,21905,23851,21628,22678,28404,32467,31377,32203,34083,38685,40948,42072
935,5572,5899,7760,7714,8543,9313,9348,10609,10727,11650,12501,12506,14049,18575,21931,20167,22130,21288,23173,21236,23869,20472,22254,27467,31088,31687,32099,30551,36114,40820,42894
669,5026,6286,7814,7565,8311,9395,9824,10446,10487,11886,12088,13531,14742,17813,18701,17272,22046,20367,23554,22630,23885,20423,21075,28910,30673,31388,32110,30040,38415,40459,42511
609,5508,6245,7388,7827,8452,9356,9702,10444,10408,11278,12606,13948,14515,15210,21780,20398,22434,20930,25157,22996,22736,21976,22574,28883,30368,31028,32141,30599,37343,40278,42017
53,5609,6466,7082,7613,8908,9347,9737,10774,10723,11368,12329,13510,14412,16053,19405,17748,22880,21532,22213,22726,22768,20204,21017,27447,30508,31788,32690,32794,38365,40197,42242
903,5151,6155,7688,7946,8828,9160,9553,10923,10953,11393,12126,11783,13322,17162,19770,21614,17989,22891,25478,22315,23748,21438,23280,28877,33788,31485,32716,31150,36817,40475,42347
127,5310,6312,7265,8151,8426,9335,9618,10717,10919,11221,12868,11785,14178,15194,21069,17128,19457,21778,25360,21401,22133,20517,23791,27347,31907,31586,32032,32510,38513,40063,42531
605,5687,5843,7411,8153,8035,9132,9511,10790,10456,11627,12653,12170,12139,15930,18428,17742,17901,22694,22595,22647,23211,21442,24646,27902,31697,31869,32672,32686,38352,40517,42767
732,5031,5667,7908,7991,8550,9259,9881,10569,10680,11242,12896,12533,12712,16422,19610,17791,21622,21938,25882,21564,22381,21842,25242,28133,31517,31607,32966,32357,38705,40923,42731
954,5880,6060,7176,7825,8172,9163,9899,10787,10785,11838,12420,12325,14120,18854,20349,19447,18821,23231,21956,22637,22568,20703,24196,28998,32304,31428,32292,33149,37311,40833,42334
892,5489,6024,7144,7563,8643,9119,9486,10949,10977,11992,12760,13338,12624,17803,21026,21556,16150,21951,21266,21306,22917,20093,25488,28589,33733,31064,32923,30211,37127,40121,42088
43,5796,6183,7109,8193,8761,9368,9638,10584,10670,11438,12264,12814,14008,16250,18589,19364,16828,20481,22320,22715,23217,20651,21190,27074,32908,31308,32462,32501,38683,40065,42028
798,5571,6308,7903,8039,8963,9258,9708,10658,10903,11668,12063,13616,14446,17802,19696,19514,19845,23590,25727,21582,23058,21863,23880,27453,33586,31141,32730,30675,37076,40244,42476
815,5060,5629,7471,8193,8134,9192,9343,10855,10683,11424,12163,12091,14842,16056,20081,21284,16762,20033,23157,22865,22633,20452,25968,28881,30192,31049,32111,30561,36771,40308,42444
387,5286,5757,7970,7899,8993,9156,9737,10741,10624,11555,12712,11984,13783,17977,21021,20034,22306,20528,24454,21885,23684,21414,24986,27151,31970,31719,32884,34590,37336,40861,42339
615,5037,5640,7281,7652,8262,9166,9439,10407,10930,11569,12618,11118,13501,18560,17159,20989,21991,21746,25819,22723,23725,21004,24869,28006,32734,31782,32322,32426,38549,40079,42017
190,5183,5892,7550,7895,8666,9192,9743,10727,10982,11339,12604,12849,14189,16893,20538,19369,20271,21985,21718,21846,23843,21364,24509,27350,31944,31219,32602,34652,38856,40082,42721
559,5145,6126,7027,7752,8643,9185,9372,10561,10681,11150,12774,13392,14016,15982,18747,18289,18389,22706,26925,22716,22300,21894,25919,28950,31058,31341,32327,34031,36421,40750,42934
981,5719,6056,7619,7786,8023,9293,9843,10669,10421,11901,12142,12929,12296,16925,17530,19093,19611,23327,21042,21727,22645,20167,24228,28601,33865,31552,32667,32309,38788,40275,42669
517,5534,6093,7360,8145,8172,9127,9369,10797,10618,11559,12478,11779,13090,15937,20982,20197,20896,21639,22446,22612,22043,20517,22592,28293,31081,31074,32217,32486,36471,40805,42933
10,5098,5682,7187,7800,8727,9163,9472,10536,10805,11249,12735,13016,12506,17113,17846,21979,17303,20888,23178,22926,22288,20545,22401,28411,32286,31312,32158,34414,36319,40643,42208
144,5146,5648,7504,7729,8388,9141,10000,10675,10985,11273,12383,13426,13535,18604,19242,19136,16582,20446,24501,22864,22398,21758,24811,28653,33366,31918,32350,32459,36985,40828,42966
880,5353,6107,7801,7561,8217,9104,9848,10715,10782,11104,12043,13824,14660,17022,19226,18141,20981,23661,21478,22572,23355,20393,23055,27086,33584,31538,32181,34648,37031,40125,42778
691,5754,6006,7212,7621,8685,9129,9935,10500,10768,11516,12925,13013,13674,17478,20930,21384,17403,23411,25744,21020,22235,20665,21682,27503,33685,31910,32798,33790,37960,40122,42767
410,5203,6091,7565,7644,8553,9188,9990,10598,10511,11483,12321,11104,13371,16190,18129,17955,18846,20511,23157,21285,22726,20146,22459,27690,31472,31239,32454,32779,38967,40027,42265
288,5465,6047,7751,8217,8765,9132,9780,10507,10744,11408,12429,12511,12430,17016,20517,21197,19801,20271,21669,21910,22998,20959,24276,28987,33661,31945,32119,30427,38915,40483,42853
740,5857,5955,7293,8026,8109,9266,9875,10970,10780,11176,12594,11426,13205,18074,19932,19162,18407,22167,25676,22125,22551,20561,22137,27481,33001,31915,32799,34032,37947,40150,42718
167,5846,5753,7304,7970,8541,9148,9694,10906,10745,11501,12461,12775,13232,15727,19248,19896,19870,22320,20593,22645,22962,20292,22103,28498,30293,31978,32244,34033,38746,40643,42895
400,5538,6147,7501,7830,8678,9128,9725,10877,10867,11971,12979,13390,13538,15801,21609,19672,20568,23266,26567,21377,22308,21096,24000,28723,33023,31397,32209,31443,36317,40411,42715
513,5152,5970,7174,7827,8333,9276,10000,10532,10483,11881,12482,13197,13458,17924,21229,17125,21250,20592,20469,22077,22939,20138,24547,27492,33165,31589,32177,32146,37182,40148,42215
216,5638,5714,7655,8046,8823,9359,9721,10591,10822,11478,12310,13941,14633,16021,20214,17740,20737,21280,25061,22972,22768,21215,21950,28905,31329,31652,32933,32491,38320,40525,42870
480,5417,5966,7978,7779,8411,9131,9988,10536,10722,11869,12050,13919,14503,15297,18907,19068,16271,21406,25103,22047,22247,20454,22363,27535,32277,31965,32963,30423,36394,40798,42203
710,5552,5658,7437,8085,8666,9318,9848,10737,10758,11183,12842,12368,14886,18775,20054,19992,17899,22981,20643,21045,23375,21494,22985,27792,31101,31926,32480,33725,38556,40720,42434
565,5086,6092,7668,7792,8844,9266,9750,10532,10602,11438,12405,11263,13644,18943,17962,21494,22331,22690,25202,22115,23508,21090,25121,28883,32418,31097,32851,34997,36670,40378,42001
177,5853,5806,7742,8111,8274,9173,9693,10558,10847,11968,12806,13233,14657,16672,17336,18887,21346,21673,25549,22073,23683,20224,24166,27544,30403,31047,32807,31021,36238,40882,42476
149,5921,6439,7681,7717,8373,9297,9973,10709,10584,11997,12051,13509,14159,17955,19598,18682,18042,23334,20935,21627,22420,20686,25123,27335,31520,31293,32812,32406,36585,40429,42177
711,5314,6466,7396,8044,8575,9307,9498,10998,10608,11329,12415,13933,14309,18294,21589,18685,17662,21283,24923,22013,22952,20425,24250,27656,31280,31380,32096,31534,37372,40178,42032
593,5680,5892,7019,8284,8625,9192,9750,10562,10540,11844,12695,13796,12163,17156,20144,21740,16013,21847,26580,21647,23681,21317,22740,28562,30470,31640,32737,32694,36043,40219,42120
254,5030,6100,7316,7624,8213,9363,9386,10861,10860,11224,12821,11182,13926,16171,17771,20897,19510,23584,22589,21356,23572,21810,21543,28644,31926,31602,32670,34424,38644,40716,42715
137,5919,6144,7442,8068,8214,9204,9822,10581,10563,11875,12515,13443,13487,17556,18394,18915,19545,20551,21765,21428,23598,20772,21286,27836,30264,31770,32972,30545,36733,40302,42872
268,5824,5730,7614,8112,8872,9108,9528,10500,10709,11226,12556,12532,14370,15496,21589,21711,20414,20434,23547,22461,23671,20058,25777,27836,31168,31599,32758,34816,36643,40138,42351
120,5199,5723,7909,7689,8189,9129,9702,10467,10439,11284,12999,12203,13769,17698,17571,18049,22030,22906,26502,21779,23610,21677,23646,28495,30661,31366,32405,34238,37303,40311,42391
503,5031,5692,7793,7525,8499,9260,9681,10937,10812,11061,12863,12232,13659,18102,20701,18500,21020,21701,25069,22678,22478,21570,22442,28195,33212,31062,32929,34682,36903,40310,42038
897,5833,6073,7869,8299,8413,9249,9319,10919,10693,11847,12222,13064,13312,15998,17561,18408,16697,23537,21347,21091,23015,20655,24072,27158,30315,31655,32128,34855,38774,40609,42498
120,5042,5608,7985,8265,8106,9295,9641,10656,10621,11810,12639,13520,13569,15291,18186,17032,18004,22279,21396,22008,23304,21565,21009,28550,31530,31905,32893,33082,38453,40710,42034
358,5609,6286,7949,8042,8360,9329,9664,10911,10636,11524,12675,11659,14432,16716,17612,21227,18191,23158,20424,21553,22940,21945,24091,28984,32469,31026,32439,33477,36152,40396,42077
412,5141,5862,7705,7803,8275,9378,9448,10789,10963,11481,12000,12148,13798,16934,17083,19533,18955,22432,20815,21487,23130,20856,22102,27745,30224,31794,32010,34252,36839,40598,42486
840,5860,6340,7476,8025,8821,9123,9629,10875,10405,11050,12455,13448,12610,17038,19738,21965,16028,22908,26407,22348,23292,21200,22439,27034,30535,31557,32837,31543,38105,40472,42997
877,5099,5607,7337,7947,8053,9318,9818,10722,10418,11389,12615,11707,14962,15469,19630,21391,20678,23904,23914,21462,23988,21952,22612,28087,30011,31397,32054,33707,37085,40648,42605
1000,5482,6225,7163,7976,8910,9170,9565,10879,10692,11531,12546,12122,12319,16139,20363,18413,22830,23467,24827,21784,22149,20547,24092,28669,31988,31485,32293,34898,37985,40266,42132
428,5110,5805,7169,8276,8426,9309,9406,10903,10473,11235,12744,12657,12362,18883,21498,19165,21465,23818,20721,22826,22980,21128,24936,28577,33933,31781,32825,31010,36236,40143,42766
87,5735,6146,7370,8202,8847,9369,9481,10710,10596,11786,12533,13092,14385,18497,17351,19615,22890,22022,22126,21891,22091,20022,25810,27819,33103,31315,32148,31824,38581,40256,42918
503,5476,6328,7052,8273,8775,9275,9766,10499,10651,11090,12369,13499,13768,16360,21433,17154,20287,21579,20177,21052,22442,20020,24697,27410,31719,31465,32469,33406,37493,40577,42238
18,5871,5830,7667,8152,8350,9162,9842,10411,10654,11536,12851,12245,14433,18723,19871,18883,22006,23906,24839,21610,23211,20966,23247,28465,30755,31245,32458,32188,36685,40357,42838
476,5922,6462,7324,8237,8924,9336,9610,10704,10668,11168,12274,13909,12238,18552,18208,21639,16067,22183,26105,22515,23172,20354,21004,28518,33105,31880,32310,33298,37160,40690,42988
957,5680,6139,7749,8107,8225,9136,9412,10982,10753,11995,12443,11947,14150,17295,17612,17556,16495,20542,21532,22203,22022,21336,23143,28105,32804,31916,32519,30736,37922,40266,42015
657,5149,6496,7521,7750,8392,9147,9361,10907,10966,11035,12631,11133,12568,18273,20807,17455,17369,20251,23677,22885,22241,20818,21083,28756,32216,31981,32702,33691,37633,40799,42127
306,5036,6064,7081,7606,8901,9386,9335,10788,10531,11004,12419,13516,14830,15390,21944,20184,22157,22516,24975,21802,23736,21163,24721,28466,30063,31089,32082,30565,36119,40288,42210
974,5927,5959,7218,7915,8300,9363,9389,10795,10798,11023,12184,13664,12228,16022,20932,21007,17428,20312,26815,22147,23452,20059,25920,27768,33608,31308,32303,34873,36136,40078,42564
87,5092,6171,7432,7556,8910,9170,9342,10504,10786,11885,12895,12756,14225,18363,20654,19943,22610,21572,20263,21534,22137,21926,21877,27166,31326,31536,32663,31128,36871,40230,42251
572,5341,5857,7264,7739,8258,9273,9430,10858,10546,11345,12989,11553,13704,17925,20660,17353,19025,21630,21259,22336,22344,21724,21493,27819,32327,31102,32260,31286,37514,40549,42198
727,5263,6125,7111,7840,8960,9147,9997,10883,10945,11900,12383,12468,12393,16417,17732,19152,17144,23803,23426,21832,22114,20598,22762,28708,32065,31808,32013,30047,37851,40006,42252
283,5851,6306,7602,8128,8419,9266,9305,10776,10756,11219,12496,12336,14656,16889,21177,18472,19338,22597,24061,22702,23007,20375,24958,27352,33357,31731,32182,32437,37513,40340,42398
751,5922,6479,7945,7927,8582,9332,9603,10562,10934,11524,12455,13619,14138,17297,20882,19126,18372,22999,20219,22100,23562,21239,22446,28863,30280,31920,32515,31767,37419,40058,42710
590,5392,5881,7533,7735,8669,9180,9525,10548,10684,11855,12764,11279,13560,18302,17760,19586,22564,22702,22185,21581,22652,20453,22221,28786,30202,31065,32990,31552,37823,40998,42700
167,5457,5930,7249,7743,8535,9158,9976,10485,10855,11652,12577,11069,14964,16431,19951,19512,22611,21472,24624,22747,23370,20023,22417,27675,32035,31696,32588,30347,38978,40050,42209
100,5096,6356,7037,8230,8173,9163,9674,10878,10805,11751,12337,12915,12954,15078,19041,19307,20128,20544,21721,22616,22635,20166,24997,28823,31644,31807,32336,32611,38050,40567,42326
565,5995,6451,7646,8136,8234,9276,9499,10737,10492,11578,12941,13406,12015,17534,18370,21704,22708,21574,23734,22038,22190,21260,22442,28761,33527,31034,32009,33673,36838,40682,42981
497,5883,5820,7116,7865,8073,9267,9611,10890,10713,11709,12906,13885,14991,17389,20527,18450,22785,20247,26626,22094,22866,21378,23269,28538,32997,31665,32078,34191,36855,40890,42256
216,5342,5899,7392,7797,8089,9328,9347,10929,10428,11260,12844,12059,12271,15814,18924,19693,18453,21908,21949,22107,23631,20020,23665,27980,31028,31705,32877,31752,37514,40368,42636
798,5461,5892,7228,7855,8321,9281,9818,10659,10632,11199,12546,13932,14002,15192,21602,19572,19124,21451,23255,21234,23037,21737,23889,27647,31762,31228,32825,30189,37829,40658,42018
195,5053,6156,7944,7928,8085,9211,9572,10752,10515,11720,12010,11410,14484,17617,17928,20856,16912,21423,26362,22677,23833,20065,22738,27237,32588,31189,32144,34248,36833,40963,42434
817,5146,6367,7362,7991,8604,9160,9644,10940,10740,11146,12282,13033,12480,15687,21538,20552,18548,20343,26461,21773,23173,21789,23996,28865,31131,31289,32110,32302,36644,40652,42266
358,5896,6198,7487,8173,8735,9136,9723,10848,10427,11315,12886,13769,14501,17451,18546,20872,19829,20395,24629,21727,23705,20600,25510,28704,30128,31371,32560,32509,37021,40908,42122
196,5973,6388,7097,7872,8537,9100,9704,10550,10904,11659,12713,11031,12852,15339,21830,17371,18932,21338,26120,21361,22525,21585,24822,28270,30815,31441,32975,31808,38256,40319,42436
109,5929,6410,7745,8256,8473,9256,9587,10684,10816,11188,12193,13767,12836,15092,19523,17200,22598,22160,23715,21383,22197,20991,21108,28685,33621,31582,32021,30267,37067,40312,42747
379,5938,5671,7090,7667,8777,9193,9563,10859,10403,11240,12019,12815,13990,17671,19453,19537,16756,22538,22817,22109,23414,20614,22251,27013,33425,31234,32266,33254,38154,40688,42248
249,5934,6223,7141,7922,8175,9354,9379,10563,10841,11881,12667,12811,12843,16113,18617,18391,22100,23632,21308,21387,22331,21362,25339,28667,30481,31442,32020,33777,36560,40345,42807
537,5509,5694,7774,7824,8749,9290,9316,10502,10490,11860,12289,12370,12001,18942,19416,19231,16951,20614,21817,21274,23964,21501,25397,28091,31572,31794,32261,33741,37689,40616,42200
40,5294,6467,7958,7720,8743,9300,9958,10649,10807,11148,12696,12441,12401,15129,18602,19237,21992,21699,22942,22400,22281,21720,24704,27333,33950,31385,32281,31182,36059,40378,42780
199,5593,6258,7628,7505,8069,9264,9911,10631,10466,11136,12584,11227,12341,18870,19008,17828,18800,20054,21036,21308,23594,20835,23298,28614,31980,31058,32324,31480,38961,40871,42146
23,5438,5950,7388,7801,8040,9250,9542,10532,10588,11859,12927,11908,13664,15710,21923,17798,16718,22875,24307,22242,22576,20936,23948,28535,31259,31563,32144,30607,38046,40382,42135
713,5818,6367,7842,8056,8255,9394,9725,10675,10453,11001,12882,13373,13696,16045,19522,20370,17177,23832,25461,22703,22644,20390,22354,28185,31999,31197,32057,32705,37024,40336,42368
160,5347,5851,7501,7722,8530,9391,9378,10648,10479,11709,12854,12898,13521,18029,18268,19301,19695,23306,21985,21451,22986,20716,23375,27796,32481,31326,32419,30740,37940,40000,42340
509,5863,5906,7079,8027,8958,9212,9434,10721,10475,11180,12317,12619,14258,16397,20817,19854,21228,20484,22851,21489,23154,20648,25872,27732,31582,31316,32079,30501,38433,40852,42007
160,5762,6088,7195,8132,8807,9323,9324,10416,10987,11462,12439,11270,13858,17442,20228,21236,19951,22043,21837,21970,23661,20453,21568,28271,31305,31741,32413,33412,37354,40877,42571
71,5268,5697,7848,7659,8475,9340,9746,10546,10608,11145,12565,11063,13666,15745,21192,18405,17935,23696,23129,21206,23618,21049,23731,27601,32909,31585,32529,32485,38133,40860,42010
393,5030,5671,7545,7944,8747,9126,9522,10505,10588,11186,12967,12522,13805,18781,17233,21947,22785,22295,23064,21047,22956,21996,22061,27272,31840,31879,32238,31808,37808,40767,42913
5,5215,6208,7875,8095,8274,9386,9943,10630,10927,11493,12227,13383,13607,15806,18547,18401,22918,21722,26391,21940,22338,21852,24473,27244,33343,31710,32711,34029,37382,40239,42162
840,5621,5979,7921,7994,8741,9383,9706,10956,10674,11898,12112,11791,13217,16106,19431,21867,16928,23079,23373,22421,22137,21337,23651,28771,31808,31793,32681,31728,37622,40523,42966
